remnant,density,season,intact,preyed,dispersed,lost
smat,5,dry,5,0,0,0
smat,5,dry,4,0,1,0
smat,5,dry,0,0,1,4
smat,5,dry,0,0,5,0
smat,5,dry,0,0,3,2
smat,5,dry,5,0,0,0
smat,5,dry,5,0,0,0
smat,5,dry,0,0,5,0
smat,5,dry,0,0,5,0
smat,5,dry,5,0,0,0
rod,5,dry,5,0,0,0
rod,5,dry,3,0,2,0
rod,5,dry,0,0,5,0
rod,5,dry,3,0,2,0
rod,5,dry,0,0,5,0
rod,5,dry,0,0,5,0
rod,5,dry,0,0,5,0
rod,5,dry,0,1,4,0
rod,5,dry,0,0,5,0
rod,5,dry,0,0,5,0
bjad,5,dry,4,0,1,0
bjad,5,dry,5,0,0,0
bjad,5,dry,5,0,0,0
bjad,5,dry,5,0,0,0
bjad,5,dry,5,0,0,0
bjad,5,dry,5,0,0,0
bjad,5,dry,5,0,0,0
bjad,5,dry,4,0,1,0
bjad,5,dry,5,0,0,0
bjad,5,dry,5,0,0,0
smat,15,dry,0,3,11,1
smat,15,dry,13,0,2,0
smat,15,dry,15,0,0,0
smat,15,dry,15,0,0,0
smat,15,dry,15,0,0,0
smat,15,dry,5,2,7,1
smat,15,dry,4,0,10,1
smat,15,dry,0,4,9,2
smat,15,dry,0,4,10,1
smat,15,dry,0,2,11,2
rod,15,dry,7,1,7,0
rod,15,dry,5,1,9,0
rod,15,dry,0,1,14,0
rod,15,dry,0,0,15,0
rod,15,dry,0,1,14,0
rod,15,dry,0,1,14,0
rod,15,dry,0,1,14,0
rod,15,dry,0,1,14,0
rod,15,dry,0,1,14,0
rod,15,dry,15,0,0,0
bjad,15,dry,15,0,0,0
bjad,15,dry,15,0,0,0
bjad,15,dry,15,0,0,0
bjad,15,dry,15,0,0,0
bjad,15,dry,15,0,0,0
bjad,15,dry,15,0,0,0
bjad,15,dry,15,0,0,0
bjad,15,dry,15,0,0,0
bjad,15,dry,15,0,0,0
bjad,15,dry,15,0,0,0
smat,30,dry,0,14,12,4
smat,30,dry,18,0,8,4
smat,30,dry,23,0,5,2
smat,30,dry,2,0,27,1
smat,30,dry,5,1,22,2
smat,30,dry,3,2,22,3
smat,30,dry,4,4,19,3
smat,30,dry,0,0,26,4
smat,30,dry,14,0,13,3
smat,30,dry,22,0,8,0
rod,30,dry,24,0,6,0
rod,30,dry,13,1,16,0
rod,30,dry,8,2,20,0
rod,30,dry,5,2,23,0
rod,30,dry,0,2,28,0
rod,30,dry,2,2,26,0
rod,30,dry,3,2,25,0
rod,30,dry,0,2,28,0
rod,30,dry,4,2,24,0
rod,30,dry,10,3,17,0
bjad,30,dry,30,0,0,0
bjad,30,dry,30,0,0,0
bjad,30,dry,30,0,0,0
bjad,30,dry,30,0,0,0
bjad,30,dry,30,0,0,0
bjad,30,dry,29,0,1,0
bjad,30,dry,30,0,0,0
bjad,30,dry,30,0,0,0
bjad,30,dry,28,0,1,1
bjad,30,dry,30,0,0,0
smat,5,wet,0,0,5,0
smat,5,wet,0,0,4,1
smat,5,wet,0,0,3,2
smat,5,wet,0,0,5,0
smat,5,wet,0,0,1,4
smat,5,wet,0,0,2,3
smat,5,wet,0,0,5,0
smat,5,wet,0,0,0,5
smat,5,wet,0,0,3,2
smat,5,wet,0,0,4,1
rod,5,wet,0,0,0,5
rod,5,wet,0,0,0,5
rod,5,wet,0,0,0,5
rod,5,wet,0,0,1,4
rod,5,wet,0,0,0,5
rod,5,wet,0,0,0,5
rod,5,wet,0,0,1,4
rod,5,wet,0,0,1,4
rod,5,wet,0,1,0,4
rod,5,wet,0,1,0,4
bjad,5,wet,0,0,4,1
bjad,5,wet,0,0,4,1
bjad,5,wet,5,0,0,0
bjad,5,wet,5,0,0,0
bjad,5,wet,5,0,0,0
bjad,5,wet,0,0,5,0
bjad,5,wet,3,0,1,1
bjad,5,wet,0,1,2,2
bjad,5,wet,0,1,3,1
bjad,5,wet,3,0,1,1
smat,15,wet,0,0,5,10
smat,15,wet,0,0,3,12
smat,15,wet,1,1,9,4
smat,15,wet,0,0,3,12
smat,15,wet,0,0,4,11
smat,15,wet,0,0,9,6
smat,15,wet,0,0,8,7
smat,15,wet,0,0,8,7
smat,15,wet,15,0,0,0
smat,15,wet,0,0,14,1
rod,15,wet,0,0,1,14
rod,15,wet,0,0,0,15
rod,15,wet,0,0,1,14
rod,15,wet,0,0,0,15
rod,15,wet,0,1,4,10
rod,15,wet,0,0,2,13
rod,15,wet,0,0,0,15
rod,15,wet,0,0,0,15
rod,15,wet,0,0,0,15
rod,15,wet,0,0,1,14
bjad,15,wet,0,0,15,0
bjad,15,wet,0,0,14,1
bjad,15,wet,15,0,0,0
bjad,15,wet,13,0,2,0
bjad,15,wet,8,0,7,0
bjad,15,wet,15,0,0,0
bjad,15,wet,15,0,0,0
bjad,15,wet,0,0,15,0
bjad,15,wet,0,5,8,2
bjad,15,wet,14,0,1,0
smat,30,wet,0,0,4,26
smat,30,wet,0,0,4,26
smat,30,wet,0,1,6,23
smat,30,wet,0,0,9,21
smat,30,wet,0,0,9,21
smat,30,wet,0,2,4,24
smat,30,wet,0,0,18,12
smat,30,wet,0,0,9,21
smat,30,wet,5,0,22,3
smat,30,wet,1,2,19,8
rod,30,wet,0,2,0,28
rod,30,wet,0,0,1,29
rod,30,wet,0,0,0,30
rod,30,wet,0,0,0,30
rod,30,wet,0,0,0,30
rod,30,wet,0,3,0,27
rod,30,wet,0,0,2,28
rod,30,wet,0,5,3,22
rod,30,wet,0,7,0,23
rod,30,wet,0,1,5,24
bjad,30,wet,7,0,8,15
bjad,30,wet,15,0,14,1
bjad,30,wet,29,0,1,0
bjad,30,wet,19,0,10,1
bjad,30,wet,0,0,28,2
bjad,30,wet,1,11,10,8
bjad,30,wet,28,0,1,1
bjad,30,wet,0,0,27,3
bjad,30,wet,0,1,27,2
bjad,30,wet,3,0,18,9